Name,ODS_Code,Status,Address,City,Postcode,Country,Role
FIRVALE COMMUNITY HUB,A0A3G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COOL BREEZE TECHNOLOGY SERVICES LTD,A0A6N,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEREFORD VISION SURGICAL GROUP LIMITED,A0E1W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GOSFORTH JESMOND HEALTH LTD,A0F1W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PROCARE GLOUCESTERSHIRE SERVICES LTD,A0K0O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ZANDA HEALTH,A0L4K,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SOCIAL CALL SERVICES LTD,A0M3J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MIDDLESBROUGH BOROUGH CARS LIMITED,A0O9B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOME-START MID & WEST SUFFOLK,A0Q8C,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ST JOHN AMBULANCE CYMRU,A0R6T,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
QUTIS ADVANCED SKIN CLINICS,A0T0P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MIBABY GROUP LTD,A0U3L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ADMIN-ASSIST.AI,A1B0R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COLEBROOK (SOUTHWEST) LIMITED,A1B6Y,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ST JOHN AMBULANCE,A1C5V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SOUTIEN LODGE,A1L8Y,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OPENCAST SOFTWARE EUROPE LIMITED,A1N2B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ROFFEY PARK INSTITUTE LIMITED,A1O6V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
RUNE DIGITAL,A1W4V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WE CARE 4 ALL,A1W7Q,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NURSEGATE UK LTD,A2B2U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
DESIGN PROSTHETICS LIMITED,A2B3U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BDR GROUP LIMITED,A2B8H,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GASPED,A2C0S,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LEAPFORWARD.AI,A2C6X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EME HEALTH LIMITED,A2D9D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VONAGE BUSINESS LIMITED,A2F4B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
