Name,ODS_Code,Status,Address,City,Postcode,Country,Role
ROWLANDS PHARMACY,FA002,Active,,,SK7 5LD,UK,PHARMACY
GALEXA PHARMACY,FA019,Active,,,NG15 7DR,UK,PHARMACY
GRENDON PHARMACY,FA026,Active,,,CV9 2EW,UK,PHARMACY
BRIDGEGATE CHEMIST,FA031,Active,,,DN22 7UZ,UK,PHARMACY
NEWLINE PHARMACY,FA037,Active,,,NE62 5UR,UK,PHARMACY
DAY LEWIS PHARMACY,FA040,Active,,,PO38 2AZ,UK,PHARMACY
WELL,FA041,Active,,,TQ3 3EF,UK,PHARMACY
COHENS CHEMIST,FA044,Active,,,LA3 1DA,UK,PHARMACY
FA STRANGE CHEMIST,FA049,Active,,,E5 8EQ,UK,PHARMACY
TESCO INSTORE PHARMACY,FA052,Active,,,RM13 9YZ,UK,PHARMACY
MORRISONS PHARMACY,FA058,Active,,,ST1 5NY,UK,PHARMACY
COHENS CHEMIST,FA064,Active,,,BL9 0SN,UK,PHARMACY
SINGLEWELL PHARMACY,FA066,Active,,,DA11 7QA,UK,PHARMACY
BOOTS,FA076,Active,,,DE14 1DG,UK,PHARMACY
FAIRVIEW PHARMACY,FA078,Active,,,HA8 5ED,UK,PHARMACY
KING STREET PHARMACY,FA079,Active,,,PL1 5JE,UK,PHARMACY
BOUNCE CHEMIST,FA083,Active,,,L7 0LQ,UK,PHARMACY
BOOTS,FA084,Active,,,DA1 4LD,UK,PHARMACY
ASDA PHARMACY,FA088,Active,,,BN1 8AS,UK,PHARMACY
SAI PHARMACY,FA089,Active,,,E1 8ZF,UK,PHARMACY
HEATHBROOK PHARMACY,FA090,Active,,,LE9 9LD,UK,PHARMACY
MEADOWCROFT PHARMACY,FA092,Active,,,HP19 9HZ,UK,PHARMACY
KAMSONS PHARMACY,FA094,Active,,,RH10 6AA,UK,PHARMACY
DAY LEWIS PHARMACY,FA116,Active,,,PO30 1NR,UK,PHARMACY
MEDS2U PHARM LIMITED,FA117,Active,,,NG4 3AA,UK,PHARMACY
TESCO INSTORE PHARMACY,FA121,Active,,,DL14 9AB,UK,PHARMACY
BOOTS,FA129,Active,,,TR5 0TH,UK,PHARMACY
WYKEN PHARMACY,FA137,Active,,,CV2 3LA,UK,PHARMACY
SAVILLE TOWN PHARMACY,FA141,Active,,,WF12 9QU,UK,PHARMACY
ALLIED PHARMACY ORMSKIRK,FA142,Active,,,L39 2ES,UK,PHARMACY
GATESHEAD PHARMACY,FA148,Active,,,NE8 1LR,UK,PHARMACY
MEDWAY PHARMACY,FA150,Active,,,UB6 8HR,UK,PHARMACY
TORWOOD STREET PHARMACY,FA155,Active,,,TQ1 1ED,UK,PHARMACY
EVERCARE PHARMACY,FA157,Active,,,BB8 0RY,UK,PHARMACY
ECCLESHALL PHARMACY,FA163,Active,,,ST21 6BZ,UK,PHARMACY
CHURCH STREET PHARMACY,FA172,Active,,,BB3 2RE,UK,PHARMACY
PENISTONE PHARMACY,FA174,Active,,,S36 6BZ,UK,PHARMACY
WELL,FA176,Active,,,CA2 4EQ,UK,PHARMACY
KNIGHTS REDHILL PHARMACY,FA183,Active,,,B31 3JW,UK,PHARMACY
MOINS CHEMIST,FA190,Active,,,LE16 9BX,UK,PHARMACY
ROWLANDS PHARMACY,FA194,Active,,,L10 0AF,UK,PHARMACY
HARFLEUR CHEMIST,FA196,Active,,,SW9 9BE,UK,PHARMACY
HOLLOWOOD CHEMIST,FA200,Active,,,WN2 2AR,UK,PHARMACY
LORDS PHARMACY,FA202,Active,,,SW20 8LB,UK,PHARMACY
GABLES PHARMACY,FA204,Active,,,CV6 4DD,UK,PHARMACY
STAG CHEMIST BIRMINGHAM LIMITED,FA215,Active,,,B11 4LP,UK,PHARMACY
CHESTNUT PHARMACY,FA217,Active,,,DN6 8AG,UK,PHARMACY
CHERRY LANE PHARMACY,FA226,Active,,,L4 8SG,UK,PHARMACY
BOOTS,FA227,Active,,,WR11 4AB,UK,PHARMACY
WELL,FA231,Active,,,LS12 3EY,UK,PHARMACY
